Id,SalePrice
1461,118171.914
1462,172678.83
1463,182527.75
1464,186633.42
1465,199204.89
1466,170702.1
1467,169768.02
1468,168393.86
1469,201712.73
1470,127006.72
1471,189322.56
1472,94478.18
1473,95071.32
1474,153335.69
1475,131692.27
1476,407997.75
1477,259010.2
1478,293154.12
1479,256816.14
1480,494155.84
1481,327829.94
1482,214240.38
1483,170402.42
1484,167475.0
1485,177408.33
1486,187617.34
1487,373368.1
1488,232893.0
1489,202336.19
1490,220023.55
1491,189191.0
1492,88211.19
1493,187183.7
1494,298814.72
1495,307886.03
1496,245426.69
1497,184705.31
1498,166329.7
1499,162228.2
1500,152010.34
1501,171261.19
1502,147907.1
1503,315461.03
1504,239341.44
1505,221086.05
1506,182308.58
1507,240435.6
1508,194833.33
1509,164941.75
1510,148624.52
1511,144749.56
1512,170565.5
1513,144628.55
1514,159658.31
1515,198314.12
1516,163840.36
1517,162595.14
1518,133823.81
1519,226127.23
1520,130187.516
1521,132562.8
1522,171622.81
1523,111458.78
1524,120555.72
1525,127291.49
1526,123369.84
1527,109044.125
1528,131252.64
1529,150442.8
1530,172045.89
1531,110784.15
1532,95956.234
1533,152355.95
1534,124973.32
1535,149252.47
1536,104056.66
1537,74119.164
1538,169807.33
1539,198300.92
1540,111384.78
1541,145997.7
1542,141655.6
1543,236536.7
1544,74866.01
1545,112062.05
1546,136023.61
1547,135666.86
1548,146633.06
1549,114050.24
1550,143445.14
1551,115226.59
1552,166147.0
1553,152489.73
1554,111272.625
1555,176776.05
1556,82079.914
1557,93710.74
1558,95711.38
1559,69025.92
1560,131253.34
1561,136435.19
1562,130641.164
1563,122416.57
1564,159432.73
1565,148134.11
1566,228794.61
1567,69379.21
1568,226183.5
1569,136736.9
1570,136929.33
1571,119529.88
1572,145783.11
1573,248755.03
1574,116889.16
1575,234696.86
1576,214047.3
1577,191142.27
1578,145853.97
1579,138666.62
1580,192706.55
1581,152951.36
1582,126684.92
1583,327506.78
1584,212401.89
1585,139041.86
1586,73855.266
1587,94303.28
1588,158376.78
1589,103084.82
1590,130884.375
1591,93034.15
1592,112433.02
1593,130249.3
1594,160825.19
1595,106364.086
1596,252290.39
1597,187318.03
1598,211398.56
1599,189335.89
1600,178421.98
1601,77797.625
1602,108121.27
1603,71280.94
1604,279352.4
1605,239041.23
1606,161629.56
1607,192537.94
1608,214495.19
1609,190018.56
1610,149603.48
1611,137159.3
1612,172823.44
1613,163987.08
1614,128894.84
1615,86159.71
1616,66234.46
1617,96039.9
1618,123081.33
1619,138364.77
1620,168267.53
1621,134069.14
1622,144250.94
1623,282580.97
1624,201390.61
1625,129493.31
1626,166218.62
1627,183303.67
1628,279167.97
1629,181721.8
1630,379061.7
1631,216677.8
1632,235335.88
1633,165638.62
1634,185189.97
1635,179719.84
1636,155039.17
1637,199939.52
1638,199828.0
1639,180977.47
1640,252919.89
1641,176970.38
1642,227246.97
1643,222522.25
1644,222910.55
1645,191864.89
1646,152400.31
1647,157837.73
1648,130844.08
1649,139374.08
1650,120870.41
1651,126790.76
1652,94682.445
1653,97131.66
1654,149116.92
1655,147167.3
1656,148399.05
1657,150386.58
1658,145379.05
1659,134265.9
1660,153894.4
1661,445155.9
1662,408687.25
1663,415510.62
1664,261870.05
1665,323250.25
1666,314666.88
1667,365480.62
1668,331627.7
1669,288431.4
1670,356683.16
1671,268270.53
1672,493746.62
1673,296108.62
1674,245786.81
1675,188322.72
1676,184889.06
1677,217850.78
1678,526568.3
1679,379915.28
1680,339469.56
1681,259080.31
1682,305082.8
1683,173762.64
1684,171146.23
1685,173708.55
1686,166811.5
1687,160462.44
1688,184646.31
1689,189518.7
1690,196498.28
1691,178129.89
1692,284370.4
1693,161698.81
1694,185476.95
1695,166999.05
1696,277780.88
1697,169388.16
1698,374278.66
